sent1,sent2,label,strategy,sent1_emoji,sent1_emoji_unicode
This is first_quarter_moon_face [EM] down-right_arrow.,This is low reservoir.,1,1,This is 🌛 ↘,This is {1F31B} {2198}
This is red_triangle_pointed_down [EM] national_park.,This is low reservoir.,1,0,This is 🔻 🏞,This is {1F53B} {1F3DE}
This is down-right_arrow [EM] label.,This is low price.,1,0,This is ↘ 🏷,This is {2198} {1F3F7}
This is chart_decreasing [EM] money_bag [EM] money_bag.,This is low price.,1,0,This is 📉 💰 💰,This is {1F4C9} {1F4B0} {1F4B0}
This is money-mouth_face [EM] money-mouth_face [EM] money-mouth_face [EM] red_envelope.,This is low price.,1,1,This is 🤑 🤑 🤑 🧧,This is {1F911} {1F911} {1F911} {1F9E7}
This is down-right_arrow [EM] heavy_dollar_sign [EM] money_with_wings.,This is low price.,1,0,This is ↘ 💲 💸,This is {2198} {1F4B2} {1F4B8}
This is down_arrow [EM] label [EM] heavy_dollar_sign.,This is low price.,1,0,This is ⬇ 🏷 💲,This is {2B07} {1F3F7} {1F4B2}
This is heavy_dollar_sign [EM] money-mouth_face [EM] money-mouth_face.,This is low price.,1,1,This is 💲 🤑 🤑,This is {1F4B2} {1F911} {1F911}
This is down_arrow [EM] heavy_dollar_sign.,This is low price.,1,0,This is ⬇ 💲,This is {2B07} {1F4B2}
This is red_triangle_pointed_down [EM] label.,This is low price.,1,0,This is 🔻 🏷,This is {1F53B} {1F3F7}
This is down-right_arrow [EM] couch_and_lamp.,This is low furniture.,1,0,This is ↘ 🛋,This is {2198} {1F6CB}
This is red_triangle_pointed_down [EM] chair [EM] couch_and_lamp.,This is low furniture.,1,0,This is 🔻 🪑 🛋,This is {1F53B} {1FA91} {1F6CB}
This is chair [EM] chair [EM] down_arrow.,This is low furniture.,1,0,This is 🪑 🪑 ⬇,This is {1FA91} {1FA91} {2B07}
This is down-right_arrow [EM] seat [EM] bed.,This is low furniture.,1,0,This is ↘ 💺 🛏,This is {2198} {1F4BA} {1F6CF}
This is down_arrow [EM] chair.,This is low furniture.,1,0,This is ⬇ 🪑,This is {2B07} {1FA91}
This is couch_and_lamp.,This is low furniture.,1,4,This is 🛋,This is {1F6CB}
This is cross_mark [EM] bed.,This is low furniture.,1,0,This is ❌ 🛏,This is {274C} {1F6CF}
This is red_triangle_pointed_down [EM] couch_and_lamp.,This is low furniture.,1,0,This is 🔻 🛋,This is {1F53B} {1F6CB}
This is face_with_medical_mask [EM] face_with_thermometer [EM] face_with_head-bandage.,This is critical illness.,1,2,This is 😷 🤒 🤕,This is {1F637} {1F912} {1F915}
This is skull_and_crossbones [EM] sneezing_face.,This is critical illness.,1,0,This is ☠ 🤧,This is {2620} {1F927}
This is face_with_head-bandage [EM] health_worker [EM] pill [EM] face_with_medical_mask [EM] microbe [EM] headstone.,This is critical illness.,1,1,This is 🤕 🧑‍⚕ 💊 😷 🦠 🪦,This is {1F915} {1F9D1 + 200D + 2695} {1F48A} {1F637} {1F9A0} {1FAA6}
This is face_vomiting [EM] man_health_worker.,This is critical illness.,1,1,This is 🤮 👨‍⚕,This is {1F92E} {1F468 + 200D + 2695}
This is face_with_thermometer [EM] police_car_light.,This is critical illness.,1,0,This is 🤒 🚨,This is {1F912} {1F6A8}
This is face_with_thermometer [EM] double_exclamation_mark.,This is critical illness.,1,0,This is 🤒 ‼,This is {1F912} {203C}
This is nauseated_face [EM] nauseated_face.,This is critical illness.,1,3,This is 🤢 🤢,This is {1F922} {1F922}
This is face_vomiting [EM] face_with_thermometer [EM] thermometer [EM] thermometer.,This is critical illness.,1,1,This is 🤮 🤒 🌡 🌡,This is {1F92E} {1F912} {1F321} {1F321}
This is balance_scale [EM] warning [EM] warning.,This is critical mass.,1,0,This is ⚖ ⚠ ⚠,This is {2696} {26A0} {26A0}
This is red_exclamation_mark [EM] balance_scale [EM] elephant.,This is critical mass.,1,0,This is ❗ ⚖ 🐘,This is {2757} {2696} {1F418}
This is balance_scale [EM] woman_judge [EM] man_judge.,This is critical mass.,1,1,This is ⚖ 👩‍⚖ 👨‍⚖,This is {2696} {1F469 + 200D + 2696} {1F468 + 200D + 2696}
This is double_exclamation_mark [EM] balance_scale.,This is critical mass.,1,0,This is ‼ ⚖,This is {203C} {2696}
This is police_car_light [EM] woman_lifting_weights.,This is critical mass.,1,1,This is 🚨 🏋‍♀,This is {1F6A8} {1F3CB + 200D + 2640}
This is pinching_hand [EM] atom_symbol [EM] red_exclamation_mark.,This is critical mass.,1,0,This is 🤏 ⚛ ❗,This is {1F90F} {269B} {2757}
This is chart_increasing_with_yen [EM] chart_increasing_with_yen.,This is critical mass.,1,3,This is 💹 💹,This is {1F4B9} {1F4B9}
This is balance_scale [EM] red_exclamation_mark [EM] red_exclamation_mark [EM] red_exclamation_mark.,This is critical mass.,1,0,This is ⚖ ❗ ❗ ❗,This is {2696} {2757} {2757} {2757}
This is old_key [EM] chart_increasing.,This is critical stage.,1,0,This is 🗝 📈,This is {1F5DD} {1F4C8}
This is check_mark [EM] thumbs_up [EM] cross_mark [EM] skull_and_crossbones.,This is critical stage.,1,1,This is ✔ 👍 ❌ ☠,This is {2714} {1F44D} {274C} {2620}
This is hospital.,This is critical stage.,1,4,This is 🏥,This is {1F3E5}
This is double_exclamation_mark [EM] footprints.,This is critical stage.,1,1,This is ‼ 👣,This is {203C} {1F463}
This is police_car_light [EM] crossed_fingers.,This is critical stage.,1,1,This is 🚨 🤞,This is {1F6A8} {1F91E}
This is chart_increasing [EM] red_exclamation_mark.,This is critical stage.,1,0,This is 📈 ❗,This is {1F4C8} {2757}
This is anxious_face_with_sweat [EM] anxious_face_with_sweat.,This is critical stage.,1,3,This is 😰 😰,This is {1F630} {1F630}
This is chart_increasing [EM] chart_decreasing [EM] red_exclamation_mark [EM] red_exclamation_mark.,This is critical stage.,1,0,This is 📈 📉 ❗ ❗,This is {1F4C8} {1F4C9} {2757} {2757}
This is thermometer [EM] warning.,This is critical temperature.,1,0,This is 🌡 ⚠,This is {1F321} {26A0}
This is red_exclamation_mark [EM] thermometer.,This is critical temperature.,1,0,This is ❗ 🌡,This is {2757} {1F321}
This is face_with_thermometer [EM] hospital.,This is critical temperature.,1,1,This is 🤒 🏥,This is {1F912} {1F3E5}
This is hot_springs [EM] face_with_head-bandage.,This is critical temperature.,1,1,This is ♨ 🤕,This is {2668} {1F915}
This is police_car_light [EM] thermometer.,This is critical temperature.,1,0,This is 🚨 🌡,This is {1F6A8} {1F321}
This is thermometer [EM] red_exclamation_mark.,This is critical temperature.,1,0,This is 🌡 ❗,This is {1F321} {2757}
This is thermometer [EM] hushed_face.,This is critical temperature.,1,1,This is 🌡 😯,This is {1F321} {1F62F}
This is red_exclamation_mark [EM] red_exclamation_mark [EM] thermometer [EM] thermometer [EM] thermometer.,This is critical temperature.,1,0,This is ❗ ❗ 🌡 🌡 🌡,This is {2757} {2757} {1F321} {1F321} {1F321}
This is cross_mark [EM] red_question_mark [EM] warning [EM] warning.,This is critical shortage.,1,1,This is ❌ ❓ ⚠ ⚠,This is {274C} {2753} {26A0} {26A0}
This is cross_mark [EM] bread [EM] skull_and_crossbones.,This is critical shortage.,1,0,This is ❌ 🍞 ☠,This is {274C} {1F35E} {2620}
This is cross_mark [EM] bento_box [EM] cross_mark [EM] baby_bottle.,This is critical shortage.,1,1,This is ❌ 🍱 ❌ 🍼,This is {274C} {1F371} {274C} {1F37C}
This is double_exclamation_mark [EM] shrimp [EM] squid [EM] bread [EM] kiwi_fruit.,This is critical shortage.,1,1,This is ‼ 🦐 🦑 🍞 🥝,This is {203C} {1F990} {1F991} {1F35E} {1F95D}
This is police_car_light [EM] chart_decreasing.,This is critical shortage.,1,0,This is 🚨 📉,This is {1F6A8} {1F4C9}
This is red_exclamation_mark [EM] avocado [EM] red_apple [EM] cheese_wedge [EM] cooked_rice [EM] red_exclamation_mark [EM] sad_but_relieved_face.,This is critical shortage.,1,1,This is ❗ 🥑 🍎 🧀 🍚 ❗ 😥,This is {2757} {1F951} {1F34E} {1F9C0} {1F35A} {2757} {1F625}
This is pinching_hand [EM] bread.,This is critical shortage.,1,1,This is 🤏 🍞,This is {1F90F} {1F35E}
This is hourglass_done [EM] cross_mark [EM] basket.,This is critical shortage.,1,1,This is ⌛ ❌ 🧺,This is {231B} {274C} {1F9FA}
This is old_key [EM] warning [EM] warning.,This is critical element.,1,1,This is 🗝 ⚠ ⚠,This is {1F5DD} {26A0} {26A0}
This is fire [EM] droplet [EM] snowflake [EM] high_voltage [EM] dragon.,This is critical element.,1,1,This is 🔥 💧 ❄ ⚡ 🐉,This is {1F525} {1F4A7} {2744} {26A1} {1F409}
This is red_exclamation_mark [EM] person_walking.,This is critical element.,1,0,This is ❗ 🚶,This is {2757} {1F6B6}
This is double_exclamation_mark [EM] rescue_worker’s_helmet.,This is critical element.,1,0,This is ‼ ⛑,This is {203C} {26D1}
This is police_car_light [EM] police_car_light.,This is critical element.,1,3,This is 🚨 🚨,This is {1F6A8} {1F6A8}
This is atom_symbol [EM] petri_dish [EM] double_exclamation_mark.,This is critical element.,1,0,This is ⚛ 🧫 ‼,This is {269B} {1F9EB} {203C}
This is Japanese_bargain_button [EM] SOS_button.,This is critical element.,1,2,This is 🉐 🆘,This is {1F250} {1F198}
This is woman_scientist [EM] red_exclamation_mark.,This is critical element.,1,1,This is 👩‍🔬 ❗,This is {1F469 + 200D + 1F52C} {2757}
This is pot_of_food [EM] pot_of_food [EM] thumbs_up.,This is thick soup.,1,1,This is 🍲 🍲 👍,This is {1F372} {1F372} {1F44D}
This is pot_of_food [EM] pot_of_food [EM] pot_of_food.,This is thick soup.,1,3,This is 🍲 🍲 🍲,This is {1F372} {1F372} {1F372}
This is canned_food [EM] soft_ice_cream.,This is thick soup.,1,1,This is 🥫 🍦,This is {1F96B} {1F366}
This is sweat_droplets [EM] bowl_with_spoon.,This is thick soup.,1,1,This is 💦 🥣,This is {1F4A6} {1F963}
This is raising_hands [EM] pot_of_food.,This is thick soup.,1,1,This is 🙌 🍲,This is {1F64C} {1F372}
This is fondue [EM] fondue [EM] fondue.,This is thick soup.,1,3,This is 🫕 🫕 🫕,This is {1FAD5} {1FAD5} {1FAD5}
This is straight_ruler [EM] bowl_with_spoon.,This is thick soup.,1,1,This is 📏 🥣,This is {1F4CF} {1F963}
This is bowl_with_spoon.,This is thick soup.,1,4,This is 🥣,This is {1F963}
This is volcano [EM] dashing_away.,This is thick smoke.,1,1,This is 🌋 💨,This is {1F30B} {1F4A8}
This is dashing_away [EM] dashing_away [EM] dashing_away [EM] face_with_steam_from_nose [EM] volcano [EM] cigarette [EM] face_with_steam_from_nose.,This is thick smoke.,1,1,This is 💨 💨 💨 😤 🌋 🚬 😤,This is {1F4A8} {1F4A8} {1F4A8} {1F624} {1F30B} {1F6AC} {1F624}
This is dashing_away [EM] eye [EM] cross_mark.,This is thick smoke.,1,1,This is 💨 👁 ❌,This is {1F4A8} {1F441} {274C}
This is dashing_away [EM] cigarette.,This is thick smoke.,1,1,This is 💨 🚬,This is {1F4A8} {1F6AC}
This is volcano [EM] volcano [EM] volcano [EM] face_with_medical_mask.,This is thick smoke.,1,1,This is 🌋 🌋 🌋 😷,This is {1F30B} {1F30B} {1F30B} {1F637}
This is dashing_away [EM] dashing_away [EM] fog [EM] fog.,This is thick smoke.,1,2,This is 💨 💨 🌫 🌫,This is {1F4A8} {1F4A8} {1F32B} {1F32B}
This is fire [EM] dashing_away [EM] dashing_away [EM] dashing_away [EM] dashing_away.,This is thick smoke.,1,1,This is 🔥 💨 💨 💨 💨,This is {1F525} {1F4A8} {1F4A8} {1F4A8} {1F4A8}
This is dashing_away.,This is thick smoke.,1,4,This is 💨,This is {1F4A8}
This is soft_ice_cream [EM] soft_ice_cream [EM] soft_ice_cream.,This is thick cream.,1,3,This is 🍦 🍦 🍦,This is {1F366} {1F366} {1F366}
This is ice_cream [EM] soft_ice_cream.,This is thick cream.,1,2,This is 🍨 🍦,This is {1F368} {1F366}
This is soft_ice_cream [EM] canned_food [EM] soft_ice_cream [EM] soft_ice_cream [EM] soft_ice_cream [EM] soft_ice_cream.,This is thick cream.,1,2,This is 🍦 🥫 🍦 🍦 🍦 🍦,This is {1F366} {1F96B} {1F366} {1F366} {1F366} {1F366}
This is cupcake.,This is thick cream.,1,4,This is 🧁,This is {1F9C1}
This is lotion_bottle [EM] flexed_biceps.,This is thick cream.,1,1,This is 🧴 💪,This is {1F9F4} {1F4AA}
This is sake [EM] sake.,This is thick cream.,1,3,This is 🍶 🍶,This is {1F376} {1F376}
This is straight_ruler [EM] soft_ice_cream [EM] soft_ice_cream.,This is thick cream.,1,1,This is 📏 🍦 🍦,This is {1F4CF} {1F366} {1F366}
This is soft_ice_cream.,This is thick cream.,1,4,This is 🍦,This is {1F366}
This is fog [EM] fog [EM] fog.,This is thick fog.,1,3,This is 🌫 🌫 🌫,This is {1F32B} {1F32B} {1F32B}
This is airplane [EM] see-no-evil_monkey.,This is thick fog.,1,1,This is ✈ 🙈,This is {2708} {1F648}
This is dashing_away [EM] eye [EM] fog.,This is thick fog.,1,1,This is 💨 👁 🌫,This is {1F4A8} {1F441} {1F32B}
This is fog [EM] fog [EM] foggy.,This is thick fog.,1,2,This is 🌫 🌫 🌁,This is {1F32B} {1F32B} {1F301}
This is fog [EM] fog [EM] fog.,This is thick fog.,1,3,This is 🌫 🌫 🌫,This is {1F32B} {1F32B} {1F32B}
This is fog [EM] fog.,This is thick fog.,1,3,This is 🌫 🌫,This is {1F32B} {1F32B}
This is straight_ruler [EM] fog [EM] fog [EM] fog [EM] foggy [EM] foggy.,This is thick fog.,1,2,This is 📏 🌫 🌫 🌫 🌁 🌁,This is {1F4CF} {1F32B} {1F32B} {1F32B} {1F301} {1F301}
This is fog [EM] face_in_clouds.,This is thick fog.,1,2,This is 🌫 😶‍🌫,This is {1F32B} {1F636 + 200D + 1F32B}
This is cross_mark [EM] page_facing_up.,This is wrong paper.,1,0,This is ❌ 📄,This is {274C} {1F4C4}
This is cross_mark [EM] scroll.,This is wrong paper.,1,0,This is ❌ 📜,This is {274C} {1F4DC}
This is woman_gesturing_NO [EM] page_with_curl.,This is wrong paper.,1,0,This is 🙅‍♀ 📃,This is {1F645 + 200D + 2640} {1F4C3}
This is cross_mark [EM] page_facing_up.,This is wrong paper.,1,0,This is ❌ 📄,This is {274C} {1F4C4}
This is man_gesturing_NO [EM] page_facing_up.,This is wrong paper.,1,0,This is 🙅‍♂ 📄,This is {1F645 + 200D + 2642} {1F4C4}
This is cross_mark [EM] page_with_curl.,This is wrong paper.,1,0,This is ❌ 📃,This is {274C} {1F4C3}
This is cross_mark [EM] scroll.,This is wrong paper.,1,0,This is ❌ 📜,This is {274C} {1F4DC}
This is cross_mark [EM] page_with_curl.,This is wrong paper.,1,0,This is ❌ 📃,This is {274C} {1F4C3}
This is cross_mark [EM] motorway.,This is wrong road.,1,0,This is ❌ 🛣,This is {274C} {1F6E3}
This is cross_mark [EM] motorway.,This is wrong road.,1,0,This is ❌ 🛣,This is {274C} {1F6E3}
This is woman_gesturing_NO [EM] motorway.,This is wrong road.,1,0,This is 🙅‍♀ 🛣,This is {1F645 + 200D + 2640} {1F6E3}
This is cross_mark [EM] motorway.,This is wrong road.,1,0,This is ❌ 🛣,This is {274C} {1F6E3}
This is man_gesturing_NO [EM] motorway.,This is wrong road.,1,0,This is 🙅‍♂ 🛣,This is {1F645 + 200D + 2642} {1F6E3}
This is cross_mark [EM] motorway.,This is wrong road.,1,0,This is ❌ 🛣,This is {274C} {1F6E3}
This is cross_mark [EM] motorway.,This is wrong road.,1,0,This is ❌ 🛣,This is {274C} {1F6E3}
This is person_gesturing_NO [EM] motorway.,This is wrong road.,1,0,This is 🙅 🛣,This is {1F645} {1F6E3}
This is cross_mark [EM] woman_technologist.,This is wrong cheating.,1,0,This is ❌ 👩‍💻,This is {274C} {1F469 + 200D + 1F4BB}
This is cross_mark [EM] bookmark_tabs.,This is wrong cheating.,1,0,This is ❌ 📑,This is {274C} {1F4D1}
This is woman_gesturing_NO [EM] broken_heart.,This is wrong cheating.,1,1,This is 🙅‍♀ 💔,This is {1F645 + 200D + 2640} {1F494}
This is person_gesturing_NO [EM] kiss_woman_man [EM] broken_heart.,This is wrong cheating.,1,1,This is 🙅 👩‍❤‍💋‍👨 💔,This is {1F645} {1F469 + 200D + 2764 + 200D + 1F48B + 200D + 1F468} {1F494}
This is man_gesturing_NO [EM] smiling_face_with_horns [EM] shushing_face [EM] writing_hand [EM] page_facing_up [EM] books [EM] hundred_points.,This is wrong cheating.,1,1,This is 🙅‍♂ 😈 🤫 ✍ 📄 📚 💯,This is {1F645 + 200D + 2642} {1F608} {1F92B} {270D} {1F4C4} {1F4DA} {1F4AF}
This is thumbs_down [EM] memo.,This is wrong cheating.,1,0,This is 👎 📝,This is {1F44E} {1F4DD}
This is cross_mark [EM] memo [EM] clipboard.,This is wrong cheating.,1,0,This is ❌ 📝 📋,This is {274C} {1F4DD} {1F4CB}
This is smirking_face [EM] thumbs_down.,This is wrong cheating.,1,1,This is 😏 👎,This is {1F60F} {1F44E}
This is cross_mark [EM] up-right_arrow [EM] up-left_arrow [EM] cross_mark_button.,This is wrong way.,1,1,This is ❌ ↗ ↖ ❎,This is {274C} {2197} {2196} {274E}
This is cross_mark [EM] right_arrow_curving_left.,This is wrong way.,1,0,This is ❌ ↩,This is {274C} {21A9}
This is woman_gesturing_NO [EM] children_crossing.,This is wrong way.,1,0,This is 🙅‍♀ 🚸,This is {1F645 + 200D + 2640} {1F6B8}
This is cross_mark [EM] up-right_arrow [EM] world_map.,This is wrong way.,1,1,This is ❌ ↗ 🗺,This is {274C} {2197} {1F5FA}
This is man_gesturing_NO [EM] world_map [EM] compass.,This is wrong way.,1,1,This is 🙅‍♂ 🗺 🧭,This is {1F645 + 200D + 2642} {1F5FA} {1F9ED}
This is cross_mark [EM] compass.,This is wrong way.,1,1,This is ❌ 🧭,This is {274C} {1F9ED}
This is cross_mark [EM] world_map [EM] woman_gesturing_NO.,This is wrong way.,1,0,This is ❌ 🗺 🙅‍♀,This is {274C} {1F5FA} {1F645 + 200D + 2640}
This is person_facepalming [EM] compass.,This is wrong way.,1,0,This is 🤦 🧭,This is {1F926} {1F9ED}
This is cross_mark [EM] pill.,This is wrong medicine.,1,0,This is ❌ 💊,This is {274C} {1F48A}
This is cross_mark [EM] pill.,This is wrong medicine.,1,0,This is ❌ 💊,This is {274C} {1F48A}
This is woman_gesturing_NO [EM] pill.,This is wrong medicine.,1,0,This is 🙅‍♀ 💊,This is {1F645 + 200D + 2640} {1F48A}
This is cross_mark [EM] pill [EM] face_with_thermometer.,This is wrong medicine.,1,0,This is ❌ 💊 🤒,This is {274C} {1F48A} {1F912}
This is man_gesturing_NO [EM] pill.,This is wrong medicine.,1,0,This is 🙅‍♂ 💊,This is {1F645 + 200D + 2642} {1F48A}
This is cross_mark [EM] pill.,This is wrong medicine.,1,0,This is ❌ 💊,This is {274C} {1F48A}
This is cross_mark [EM] pill.,This is wrong medicine.,1,0,This is ❌ 💊,This is {274C} {1F48A}
This is cross_mark [EM] pill.,This is wrong medicine.,1,0,This is ❌ 💊,This is {274C} {1F48A}
This is cross_mark [EM] information.,This is wrong information.,1,0,This is ❌ ℹ,This is {274C} {2139}
This is cross_mark [EM] information.,This is wrong information.,1,0,This is ❌ ℹ,This is {274C} {2139}
This is woman_gesturing_NO [EM] information.,This is wrong information.,1,0,This is 🙅‍♀ ℹ,This is {1F645 + 200D + 2640} {2139}
This is cross_mark [EM] thought_balloon [EM] red_question_mark.,This is wrong information.,1,1,This is ❌ 💭 ❓,This is {274C} {1F4AD} {2753}
This is man_gesturing_NO [EM] bookmark_tabs [EM] card_index_dividers.,This is wrong information.,1,0,This is 🙅‍♂ 📑 🗂,This is {1F645 + 200D + 2642} {1F4D1} {1F5C2}
This is cross_mark [EM] brain.,This is wrong information.,1,1,This is ❌ 🧠,This is {274C} {1F9E0}
This is cross_mark [EM] newspaper.,This is wrong information.,1,0,This is ❌ 📰,This is {274C} {1F4F0}
This is cross_mark [EM] information.,This is wrong information.,1,0,This is ❌ ℹ,This is {274C} {2139}
This is cross_mark [EM] thinking_face.,This is wrong assumption.,1,0,This is ❌ 🤔,This is {274C} {1F914}
This is cross_mark [EM] thought_balloon.,This is wrong assumption.,1,0,This is ❌ 💭,This is {274C} {1F4AD}
This is woman_gesturing_NO [EM] thinking_face.,This is wrong assumption.,1,0,This is 🙅‍♀ 🤔,This is {1F645 + 200D + 2640} {1F914}
This is mouth [EM] cross_mark [EM] mouth [EM] speech_balloon.,This is wrong assumption.,1,0,This is 👄 ❌ 👄 💬,This is {1F444} {274C} {1F444} {1F4AC}
This is man_gesturing_NO [EM] thinking_face.,This is wrong assumption.,1,0,This is 🙅‍♂ 🤔,This is {1F645 + 200D + 2642} {1F914}
This is cross_mark [EM] eyes [EM] brain.,This is wrong assumption.,1,0,This is ❌ 👀 🧠,This is {274C} {1F440} {1F9E0}
This is cross_mark [EM] thinking_face.,This is wrong assumption.,1,0,This is ❌ 🤔,This is {274C} {1F914}
This is thinking_face [EM] person_facepalming.,This is wrong assumption.,1,1,This is 🤔 🤦,This is {1F914} {1F926}
This is cross_mark [EM] alarm_clock.,This is wrong time.,1,0,This is ❌ ⏰,This is {274C} {23F0}
This is cross_mark [EM] six-thirty.,This is wrong time.,1,0,This is ❌ 🕡,This is {274C} {1F561}
This is woman_gesturing_NO [EM] mantelpiece_clock.,This is wrong time.,1,0,This is 🙅‍♀ 🕰,This is {1F645 + 200D + 2640} {1F570}
This is cross_mark [EM] stopwatch [EM] alarm_clock.,This is wrong time.,1,0,This is ❌ ⏱ ⏰,This is {274C} {23F1} {23F0}
This is man_gesturing_NO [EM] stopwatch.,This is wrong time.,1,0,This is 🙅‍♂ ⏱,This is {1F645 + 200D + 2642} {23F1}
This is cross_mark [EM] alarm_clock.,This is wrong time.,1,0,This is ❌ ⏰,This is {274C} {23F0}
This is cross_mark [EM] stopwatch.,This is wrong time.,1,0,This is ❌ ⏱,This is {274C} {23F1}
This is person_facepalming [EM] watch.,This is wrong time.,1,1,This is 🤦 ⌚,This is {1F926} {231A}
This is hot_springs [EM] people_holding_hands [EM] people_holding_hands [EM] people_holding_hands.,This is warm support.,1,1,This is ♨ 🧑‍🤝‍🧑 🧑‍🤝‍🧑 🧑‍🤝‍🧑,This is {2668} {1F9D1 + 200D + 1F91D + 200D + 1F9D1} {1F9D1 + 200D + 1F91D + 200D + 1F9D1} {1F9D1 + 200D + 1F91D + 200D + 1F9D1}
This is thermometer [EM] people_hugging.,This is warm support.,1,0,This is 🌡 🫂,This is {1F321} {1FAC2}
This is handshake [EM] hot_face.,This is warm support.,1,0,This is 🤝 🥵,This is {1F91D} {1F975}
This is family [EM] smiling_face_with_hearts.,This is warm support.,1,1,This is 👪 🥰,This is {1F46A} {1F970}
This is people_hugging [EM] smiling_face_with_open_hands.,This is warm support.,1,0,This is 🫂 🤗,This is {1FAC2} {1F917}
This is smiling_face_with_hearts.,This is warm support.,1,4,This is 🥰,This is {1F970}
This is fire [EM] flexed_biceps_light_skin_tone.,This is warm support.,1,0,This is 🔥 💪🏻,This is {1F525} {1F4AA + 1F3FB}
This is thermometer [EM] flexed_biceps.,This is warm support.,1,0,This is 🌡 💪,This is {1F321} {1F4AA}
This is hot_springs [EM] smiling_face_with_open_hands [EM] handshake.,This is warm greeting.,1,0,This is ♨ 🤗 🤝,This is {2668} {1F917} {1F91D}
This is hot_springs [EM] waving_hand.,This is warm greeting.,1,0,This is ♨ 👋,This is {2668} {1F44B}
This is hot_face [EM] waving_hand.,This is warm greeting.,1,0,This is 🥵 👋,This is {1F975} {1F44B}
This is waving_hand [EM] smiling_face_with_hearts.,This is warm greeting.,1,1,This is 👋 🥰,This is {1F44B} {1F970}
This is smiling_face_with_smiling_eyes [EM] waving_hand.,This is warm greeting.,1,1,This is 😊 👋,This is {1F60A} {1F44B}
This is waving_hand [EM] waving_hand [EM] waving_hand.,This is warm greeting.,1,3,This is 👋 👋 👋,This is {1F44B} {1F44B} {1F44B}
This is red_heart [EM] waving_hand.,This is warm greeting.,1,1,This is ❤ 👋,This is {2764} {1F44B}
This is thermometer [EM] handshake.,This is warm greeting.,1,0,This is 🌡 🤝,This is {1F321} {1F91D}
This is hot_springs [EM] balance_scale.,This is warm debate.,1,0,This is ♨ ⚖,This is {2668} {2696}
This is fire [EM] speaking_head.,This is warm debate.,1,0,This is 🔥 🗣,This is {1F525} {1F5E3}
This is man_detective [EM] woman_detective.,This is warm debate.,1,3,This is 🕵‍♂ 🕵‍♀,This is {1F575 + 200D + 2642} {1F575 + 200D + 2640}
This is brain [EM] speaking_head [EM] collision.,This is warm debate.,1,0,This is 🧠 🗣 💥,This is {1F9E0} {1F5E3} {1F4A5}
This is speaking_head [EM] fire [EM] speaking_head.,This is warm debate.,1,0,This is 🗣 🔥 🗣,This is {1F5E3} {1F525} {1F5E3}
This is mouth [EM] exploding_head.,This is warm debate.,1,1,This is 👄 🤯,This is {1F444} {1F92F}
This is collision [EM] brain.,This is warm debate.,1,1,This is 💥 🧠,This is {1F4A5} {1F9E0}
This is thermometer [EM] speaking_head [EM] speaking_head.,This is warm debate.,1,0,This is 🌡 🗣 🗣,This is {1F321} {1F5E3} {1F5E3}
This is hot_springs [EM] face_exhaling.,This is warm room.,1,1,This is ♨ 😮‍💨,This is {2668} {1F62E + 200D + 1F4A8}
This is thermometer [EM] women’s_room [EM] men’s_room.,This is warm room.,1,0,This is 🌡 🚺 🚹,This is {1F321} {1F6BA} {1F6B9}
This is hot_face [EM] house_with_garden.,This is warm room.,1,0,This is 🥵 🏡,This is {1F975} {1F3E1}
This is hot_face [EM] school.,This is warm room.,1,0,This is 🥵 🏫,This is {1F975} {1F3EB}
This is hot_face [EM] thermometer [EM] derelict_house.,This is warm room.,1,0,This is 🥵 🌡 🏚,This is {1F975} {1F321} {1F3DA}
This is hot_face.,This is warm room.,1,4,This is 🥵,This is {1F975}
This is fire [EM] house.,This is warm room.,1,0,This is 🔥 🏠,This is {1F525} {1F3E0}
This is thermometer [EM] house.,This is warm room.,1,0,This is 🌡 🏠,This is {1F321} {1F3E0}
This is hot_springs [EM] foot [EM] leg [EM] nose [EM] ear [EM] hand_with_fingers_splayed.,This is warm body.,1,2,This is ♨ 🦶 🦵 👃 👂 🖐,This is {2668} {1F9B6} {1F9B5} {1F443} {1F442} {1F590}
This is thermometer [EM] man_standing.,This is warm body.,1,0,This is 🌡 🧍‍♂,This is {1F321} {1F9CD + 200D + 2642}
This is movie_camera [EM] woman_tipping_hand [EM] red_heart [EM] man_zombie.,This is warm body.,1,1,This is 🎥 💁‍♀ ❤ 🧟‍♂,This is {1F3A5} {1F481 + 200D + 2640} {2764} {1F9DF + 200D + 2642}
This is face_with_thermometer.,This is warm body.,1,4,This is 🤒,This is {1F912}
This is face_with_thermometer.,This is warm body.,1,4,This is 🤒,This is {1F912}
This is hot_face.,This is warm body.,1,4,This is 🥵,This is {1F975}
This is fire [EM] man_in_steamy_room.,This is warm body.,1,0,This is 🔥 🧖‍♂,This is {1F525} {1F9D6 + 200D + 2642}
This is thermometer [EM] person_standing.,This is warm body.,1,0,This is 🌡 🧍,This is {1F321} {1F9CD}
This is hot_springs [EM] sun_behind_cloud.,This is warm climate.,1,0,This is ♨ ⛅,This is {2668} {26C5}
This is thermometer [EM] desert.,This is warm climate.,1,1,This is 🌡 🏜,This is {1F321} {1F3DC}
This is hot_face [EM] desert_island.,This is warm climate.,1,1,This is 🥵 🏝,This is {1F975} {1F3DD}
