sent1,sent2,label,strategy,sent1_emoji,sent1_emoji_unicode,extracted
This is hamburger [EM] hot_dog [EM] taco [EM] burrito [EM] sandwich [EM] pizza.,This is ample food.,1,2,This is 🍔 🌭 🌮 🌯 🥪 🍕,This is {1F354} {1F32D} {1F32E} {1F32F} {1F96A} {1F355},"hamburger, hot_dog, taco, burrito, sandwich, pizza"
This is open_hands [EM] face_savoring_food.,This is ample food.,1,1,This is 👐 😋,This is {1F450} {1F60B},"open_hands, face_savoring_food"
This is smiling_face_with_smiling_eyes [EM] chart_increasing.,This is ample supply.,1,1,This is 😊 📈,This is {1F60A} {1F4C8},"smiling_face_with_smiling_eyes, chart_increasing"
This is family_woman_woman_girl_girl [EM] family_man_man_girl_girl [EM] family_man_woman_girl_girl [EM] chart_increasing.,This is ample supply.,1,1,This is 👩‍👩‍👧‍👧 👨‍👨‍👧‍👧 👨‍👩‍👧‍👧 📈,This is {1F469 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467} {1F468 + 200D + 1F468 + 200D + 1F467 + 200D + 1F467} {1F468 + 200D + 1F469 + 200D + 1F467 + 200D + 1F467} {1F4C8},"family_woman_woman_girl_girl, family_man_man_girl_girl, family_man_woman_girl_girl, chart_increasing"
This is chart_decreasing [EM] clipboard [EM] check_mark_button.,This is ample supply.,1,1,This is 📉 📋 ✅,This is {1F4C9} {1F4CB} {2705},"chart_decreasing, clipboard, check_mark_button"
This is fork_and_knife_with_plate [EM] check_mark_button.,This is ample supply.,1,1,This is 🍽 ✅,This is {1F37D} {2705},"fork_and_knife_with_plate, check_mark_button"
This is OK_hand_light_skin_tone [EM] locked.,This is ample supply.,1,1,This is 👌🏻 🔒,This is {1F44C + 1F3FB} {1F512},"OK_hand_light_skin_tone, locked"
This is green_apple [EM] banana [EM] croissant [EM] taco [EM] sandwich [EM] pretzel [EM] cheese_wedge [EM] egg [EM] pancakes [EM] leafy_green [EM] hot_pepper [EM] oden [EM] bubble_tea [EM] chestnut [EM] cookie [EM] birthday_cake [EM] clinking_glasses [EM] ice_cream.,This is ample supply.,1,2,This is 🍏 🍌 🥐 🌮 🥪 🥨 🧀 🥚 🥞 🥬 🌶 🍢 🧋 🌰 🍪 🎂 🥂 🍨,This is {1F34F} {1F34C} {1F950} {1F32E} {1F96A} {1F968} {1F9C0} {1F95A} {1F95E} {1F96C} {1F336} {1F362} {1F9CB} {1F330} {1F36A} {1F382} {1F942} {1F368},"green_apple, banana, croissant, taco, sandwich, pretzel, cheese_wedge, egg, pancakes, leafy_green, hot_pepper, oden, bubble_tea, chestnut, cookie, birthday_cake, clinking_glasses, ice_cream"
This is woman_gesturing_OK_light_skin_tone [EM] package.,This is ample supply.,1,0,This is 🙆🏻‍♀ 📦,This is {1F646 + 1F3FB + 200D + 2640} {1F4E6},"woman_gesturing_OK_light_skin_tone, package"
This is open_hands [EM] chart_increasing.,This is ample supply.,1,1,This is 👐 📈,This is {1F450} {1F4C8},"open_hands, chart_increasing"
This is smiling_face_with_smiling_eyes.,This is ample waistline.,1,4,This is 😊,This is {1F60A},
This is pregnant_woman [EM] chart_increasing.,This is ample waistline.,1,1,This is 🤰 📈,This is {1F930} {1F4C8},"pregnant_woman, chart_increasing"
This is straight_ruler [EM] jeans.,This is ample waistline.,1,1,This is 📏 👖,This is {1F4CF} {1F456},"straight_ruler, jeans"
This is fork_and_knife [EM] fork_and_knife [EM] spaghetti [EM] Santa_Claus.,This is ample waistline.,1,1,This is 🍴 🍴 🍝 🎅,This is {1F374} {1F374} {1F35D} {1F385},"fork_and_knife, fork_and_knife, spaghetti, Santa_Claus"
This is pinched_fingers_light_skin_tone [EM] dress.,This is ample waistline.,1,1,This is 🤌🏻 👗,This is {1F90C + 1F3FB} {1F457},"pinched_fingers_light_skin_tone, dress"
This is money_with_wings [EM] bank [EM] dollar_banknote [EM] coin [EM] money_bag [EM] chart_increasing_with_yen [EM] ATM_sign [EM] heavy_dollar_sign [EM] credit_card [EM] money-mouth_face.,This is ample waistline.,1,1,This is 💸 🏦 💵 🪙 💰 💹 🏧 💲 💳 🤑,This is {1F4B8} {1F3E6} {1F4B5} {1FA99} {1F4B0} {1F4B9} {1F3E7} {1F4B2} {1F4B3} {1F911},"money_with_wings, bank, dollar_banknote, coin, money_bag, chart_increasing_with_yen, ATM_sign, heavy_dollar_sign, credit_card, money-mouth_face"
This is woman_gesturing_OK_light_skin_tone [EM] shorts.,This is ample waistline.,1,0,This is 🙆🏻‍♀ 🩳,This is {1F646 + 1F3FB + 200D + 2640} {1FA73},"woman_gesturing_OK_light_skin_tone, shorts"
This is open_hands [EM] pregnant_woman.,This is ample waistline.,1,1,This is 👐 🤰,This is {1F450} {1F930},"open_hands, pregnant_woman"
This is exploding_head [EM] star-struck.,This is remarkable sight.,1,0,This is 🤯 🤩,This is {1F92F} {1F929},"exploding_head, star-struck"
This is star-struck [EM] exploding_head [EM] fireworks.,This is remarkable sight.,1,1,This is 🤩 🤯 🎆,This is {1F929} {1F92F} {1F386},"star-struck, exploding_head, fireworks"
This is astonished_face [EM] hundred_points [EM] smiling_face_with_hearts [EM] eyes.,This is remarkable sight.,1,0,This is 😲 💯 🥰 👀,This is {1F632} {1F4AF} {1F970} {1F440},"astonished_face, hundred_points, smiling_face_with_hearts, eyes"
This is national_park [EM] eyes [EM] check_mark_button.,This is remarkable sight.,1,0,This is 🏞 👀 ✅,This is {1F3DE} {1F440} {2705},"national_park, eyes, check_mark_button"
This is star-struck [EM] national_park.,This is remarkable sight.,1,0,This is 🤩 🏞,This is {1F929} {1F3DE},"star-struck, national_park"
This is eyes [EM] moon_viewing_ceremony.,This is remarkable sight.,1,0,This is 👀 🎑,This is {1F440} {1F391},"eyes, moon_viewing_ceremony"
This is star-struck.,This is remarkable sight.,1,4,This is 🤩,This is {1F929},
This is eyes [EM] framed_picture.,This is remarkable sight.,1,0,This is 👀 🖼,This is {1F440} {1F5BC},"eyes, framed_picture"
This is expressionless_face [EM] yawning_face.,This is dull mood.,1,2,This is 😑 🥱,This is {1F611} {1F971},"expressionless_face, yawning_face"
This is confused_face [EM] expressionless_face [EM] face_without_mouth.,This is dull mood.,1,2,This is 😕 😑 😶,This is {1F615} {1F611} {1F636},"confused_face, expressionless_face, face_without_mouth"
This is expressionless_face [EM] yawning_face.,This is dull mood.,1,2,This is 😑 🥱,This is {1F611} {1F971},"expressionless_face, yawning_face"
This is yawning_face [EM] unamused_face.,This is dull mood.,1,2,This is 🥱 😒,This is {1F971} {1F612},"yawning_face, unamused_face"
This is yawning_face [EM] unamused_face.,This is dull mood.,1,2,This is 🥱 😒,This is {1F971} {1F612},"yawning_face, unamused_face"
This is thumbs_down [EM] face_with_steam_from_nose.,This is dull mood.,1,0,This is 👎 😤,This is {1F44E} {1F624},"thumbs_down, face_with_steam_from_nose"
This is pensive_face [EM] sleepy_face.,This is dull mood.,1,2,This is 😔 😪,This is {1F614} {1F62A},"pensive_face, sleepy_face"
This is downcast_face_with_sweat.,This is dull mood.,1,4,This is 😓,This is {1F613},
This is expressionless_face [EM] yawning_face [EM] soccer_ball.,This is dull play.,1,0,This is 😑 🥱 ⚽,This is {1F611} {1F971} {26BD},"expressionless_face, yawning_face, soccer_ball"
This is expressionless_face [EM] pinata [EM] teddy_bear.,This is dull play.,1,0,This is 😑 pinata 🧸,This is {1F611} {1FA85} {1F9F8},"expressionless_face, pinata, teddy_bear"
This is yawning_face [EM] performing_arts.,This is dull play.,1,0,This is 🥱 🎭,This is {1F971} {1F3AD},"yawning_face, performing_arts"
This is yawning_face [EM] performing_arts.,This is dull play.,1,0,This is 🥱 🎭,This is {1F971} {1F3AD},"yawning_face, performing_arts"
This is unamused_face [EM] soccer_ball.,This is dull play.,1,0,This is 😒 ⚽,This is {1F612} {26BD},"unamused_face, soccer_ball"
This is thumbs_down [EM] basketball.,This is dull play.,1,0,This is 👎 🏀,This is {1F44E} {1F3C0},"thumbs_down, basketball"
This is sleepy_face [EM] video_game.,This is dull play.,1,0,This is 😪 🎮,This is {1F62A} {1F3AE},"sleepy_face, video_game"
This is performing_arts [EM] confused_face.,This is dull play.,1,0,This is 🎭 😕,This is {1F3AD} {1F615},"performing_arts, confused_face"
This is expressionless_face [EM] yawning_face [EM] fog.,This is dull sky.,1,0,This is 😑 🥱 🌫,This is {1F611} {1F971} {1F32B},"expressionless_face, yawning_face, fog"
This is sun_behind_large_cloud [EM] cloud_with_rain [EM] window.,This is dull sky.,1,1,This is 🌥 🌧 🪟,This is {1F325} {1F327} {1FA9F},"sun_behind_large_cloud, cloud_with_rain, window"
This is fog.,This is dull sky.,1,4,This is 🌫,This is {1F32B},
This is new_moon [EM] night_with_stars.,This is dull sky.,1,1,This is 🌑 🌃,This is {1F311} {1F303},"new_moon, night_with_stars"
This is unamused_face [EM] fog.,This is dull sky.,1,0,This is 😒 🌫,This is {1F612} {1F32B},"unamused_face, fog"
This is black_small_square [EM] cloud_with_lightning_and_rain.,This is dull sky.,1,1,This is ▪ ⛈,This is {25AA} {26C8},"black_small_square, cloud_with_lightning_and_rain"
This is cloud_with_lightning [EM] fog.,This is dull sky.,1,1,This is 🌩 🌫,This is {1F329} {1F32B},"cloud_with_lightning, fog"
This is fog.,This is dull sky.,1,4,This is 🌫,This is {1F32B},
This is fog [EM] 2nd_place_medal.,This is dull silver.,1,0,This is 🌫 🥈,This is {1F32B} {1F948},"fog, 2nd_place_medal"
This is fog [EM] fork_and_knife [EM] spoon.,This is dull silver.,1,0,This is 🌫 🍴 🥄,This is {1F32B} {1F374} {1F944},"fog, fork_and_knife, spoon"
This is ring [EM] cross_mark [EM] glowing_star.,This is dull silver.,1,0,This is 💍 ❌ 🌟,This is {1F48D} {274C} {1F31F},"ring, cross_mark, glowing_star"
This is new_moon [EM] 2nd_place_medal.,This is dull silver.,1,0,This is 🌑 🥈,This is {1F311} {1F948},"new_moon, 2nd_place_medal"
This is 2nd_place_medal [EM] gear [EM] new_moon.,This is dull silver.,1,0,This is 🥈 ⚙ 🌑,This is {1F948} {2699} {1F311},"2nd_place_medal, gear, new_moon"
This is black_small_square [EM] ring.,This is dull silver.,1,0,This is ▪ 💍,This is {25AA} {1F48D},"black_small_square, ring"
This is 2nd_place_medal [EM] pensive_face.,This is dull silver.,1,1,This is 🥈 😔,This is {1F948} {1F614},"2nd_place_medal, pensive_face"
This is fog [EM] coin.,This is dull silver.,1,0,This is 🌫 🪙,This is {1F32B} {1FA99},"fog, coin"
This is expressionless_face [EM] yawning_face [EM] tear-off_calendar.,This is dull day.,1,0,This is 😑 🥱 📆,This is {1F611} {1F971} {1F4C6},"expressionless_face, yawning_face, tear-off_calendar"
This is sun_behind_large_cloud [EM] cityscape.,This is dull day.,1,1,This is 🌥 🏙,This is {1F325} {1F3D9},"sun_behind_large_cloud, cityscape"
This is expressionless_face [EM] calendar.,This is dull day.,1,0,This is 😑 📅,This is {1F611} {1F4C5},"expressionless_face, calendar"
This is new_moon [EM] new_moon_face.,This is dull day.,1,1,This is 🌑 🌚,This is {1F311} {1F31A},"new_moon, new_moon_face"
This is fog [EM] sun_behind_large_cloud.,This is dull day.,1,1,This is 🌫 🌥,This is {1F32B} {1F325},"fog, sun_behind_large_cloud"
This is thumbs_down [EM] eleven-thirty.,This is dull day.,1,1,This is 👎 🕦,This is {1F44E} {1F566},"thumbs_down, eleven-thirty"
This is sad_but_relieved_face [EM] worried_face.,This is dull day.,1,2,This is 😥 😟,This is {1F625} {1F61F},"sad_but_relieved_face, worried_face"
This is fog.,This is dull day.,1,4,This is 🌫,This is {1F32B},
This is fog [EM] glowing_star.,This is dull glow.,1,0,This is 🌫 🌟,This is {1F32B} {1F31F},"fog, glowing_star"
This is fog [EM] light_bulb.,This is dull glow.,1,0,This is 🌫 💡,This is {1F32B} {1F4A1},"fog, light_bulb"
This is light_bulb [EM] cross_mark [EM] glowing_star.,This is dull glow.,1,0,This is 💡 ❌ 🌟,This is {1F4A1} {274C} {1F31F},"light_bulb, cross_mark, glowing_star"
This is new_moon [EM] glowing_star.,This is dull glow.,1,0,This is 🌑 🌟,This is {1F311} {1F31F},"new_moon, glowing_star"
This is light_bulb [EM] sunglasses [EM] unamused_face.,This is dull glow.,1,1,This is 💡 🕶 😒,This is {1F4A1} {1F576} {1F612},"light_bulb, sunglasses, unamused_face"
This is thumbs_down [EM] glowing_star.,This is dull glow.,1,0,This is 👎 🌟,This is {1F44E} {1F31F},"thumbs_down, glowing_star"
This is cross_mark [EM] light_bulb [EM] candle.,This is dull glow.,1,0,This is ❌ 💡 🕯,This is {274C} {1F4A1} {1F56F},"cross_mark, light_bulb, candle"
This is fog [EM] star.,This is dull glow.,1,0,This is 🌫 ⭐,This is {1F32B} {2B50},"fog, star"
This is smiling_face_with_smiling_eyes [EM] bed.,This is cozy nook.,1,1,This is 😊 🛏,This is {1F60A} {1F6CF},"smiling_face_with_smiling_eyes, bed"
This is relieved_face [EM] smiling_face [EM] sun [EM] sunrise_over_mountains.,This is cozy nook.,1,1,This is 😌 ☺ ☀ 🌄,This is {1F60C} {263A} {2600} {1F304},"relieved_face, smiling_face, sun, sunrise_over_mountains"
This is couch_and_lamp [EM] smiling_face_with_hearts.,This is cozy nook.,1,1,This is 🛋 🥰,This is {1F6CB} {1F970},"couch_and_lamp, smiling_face_with_hearts"
This is smiling_face_with_hearts [EM] couch_and_lamp.,This is cozy nook.,1,1,This is 🥰 🛋,This is {1F970} {1F6CB},"smiling_face_with_hearts, couch_and_lamp"
This is couch_and_lamp [EM] hot_beverage [EM] relieved_face.,This is cozy nook.,1,1,This is 🛋 ☕ 😌,This is {1F6CB} {2615} {1F60C},"couch_and_lamp, hot_beverage, relieved_face"
This is grinning_face_with_smiling_eyes.,This is cozy nook.,1,4,This is 😄,This is {1F604},
This is maple_leaf [EM] fallen_leaf [EM] fire.,This is cozy nook.,1,1,This is 🍁 🍂 🔥,This is {1F341} {1F342} {1F525},"maple_leaf, fallen_leaf, fire"
This is sleeping_face [EM] couch_and_lamp.,This is cozy nook.,1,1,This is 😴 🛋,This is {1F634} {1F6CB},"sleeping_face, couch_and_lamp"
This is smiling_face_with_smiling_eyes [EM] house.,This is cozy room.,1,0,This is 😊 🏠,This is {1F60A} {1F3E0},"smiling_face_with_smiling_eyes, house"
This is relieved_face [EM] house [EM] house_with_garden [EM] window.,This is cozy room.,1,0,This is 😌 🏠 🏡 🪟,This is {1F60C} {1F3E0} {1F3E1} {1FA9F},"relieved_face, house, house_with_garden, window"
This is bed [EM] smiling_face_with_hearts.,This is cozy room.,1,1,This is 🛏 🥰,This is {1F6CF} {1F970},"bed, smiling_face_with_hearts"
This is smiling_face_with_hearts [EM] door.,This is cozy room.,1,1,This is 🥰 🚪,This is {1F970} {1F6AA},"smiling_face_with_hearts, door"
This is couch_and_lamp [EM] hot_beverage [EM] desktop_computer.,This is cozy room.,1,1,This is 🛋 ☕ 🖥,This is {1F6CB} {2615} {1F5A5},"couch_and_lamp, hot_beverage, desktop_computer"
This is grinning_face_with_smiling_eyes [EM] person_in_bed.,This is cozy room.,1,1,This is 😄 🛌,This is {1F604} {1F6CC},"grinning_face_with_smiling_eyes, person_in_bed"
This is bed [EM] couch_and_lamp [EM] zzz [EM] candle.,This is cozy room.,1,1,This is 🛏 🛋 zzz 🕯,This is {1F6CF} {1F6CB} {1F4A4} {1F56F},"bed, couch_and_lamp, zzz, candle"
This is sleeping_face [EM] couch_and_lamp.,This is cozy room.,1,1,This is 😴 🛋,This is {1F634} {1F6CB},"sleeping_face, couch_and_lamp"
This is down-right_arrow [EM] snow-capped_mountain.,This is low hill.,1,0,This is ↘ 🏔,This is {2198} {1F3D4},"down-right_arrow, snow-capped_mountain"
This is backhand_index_pointing_down [EM] mountain.,This is low hill.,1,0,This is 👇 ⛰,This is {1F447} {26F0},"backhand_index_pointing_down, mountain"
This is down_arrow [EM] snow-capped_mountain [EM] snow-capped_mountain.,This is low hill.,1,0,This is ⬇ 🏔 🏔,This is {2B07} {1F3D4} {1F3D4},"down_arrow, snow-capped_mountain, snow-capped_mountain"
This is down-right_arrow [EM] snow-capped_mountain.,This is low hill.,1,0,This is ↘ 🏔,This is {2198} {1F3D4},"down-right_arrow, snow-capped_mountain"
This is snow-capped_mountain [EM] down_arrow.,This is low hill.,1,0,This is 🏔 ⬇,This is {1F3D4} {2B07},"snow-capped_mountain, down_arrow"
This is snow-capped_mountain.,This is low hill.,1,4,This is 🏔,This is {1F3D4},
This is down_arrow [EM] snow-capped_mountain.,This is low hill.,1,0,This is ⬇ 🏔,This is {2B07} {1F3D4},"down_arrow, snow-capped_mountain"
This is red_triangle_pointed_down [EM] mount_fuji.,This is low hill.,1,0,This is 🔻 🗻,This is {1F53B} {1F5FB},"red_triangle_pointed_down, mount_fuji"
This is down-right_arrow [EM] sun.,This is low sun.,1,0,This is ↘ ☀,This is {2198} {2600},"down-right_arrow, sun"
This is backhand_index_pointing_down [EM] sun_with_face.,This is low sun.,1,0,This is 👇 🌞,This is {1F447} {1F31E},"backhand_index_pointing_down, sun_with_face"
This is sunrise [EM] sunrise [EM] sunrise.,This is low sun.,1,3,This is 🌅 🌅 🌅,This is {1F305} {1F305} {1F305},"sunrise, sunrise, sunrise"
This is down-right_arrow [EM] sun [EM] sun_with_face [EM] sun_behind_large_cloud [EM] dim_button.,This is low sun.,1,1,This is ↘ ☀ 🌞 🌥 🔅,This is {2198} {2600} {1F31E} {1F325} {1F505},"down-right_arrow, sun, sun_with_face, sun_behind_large_cloud, dim_button"
This is down_arrow [EM] dim_button.,This is low sun.,1,0,This is ⬇ 🔅,This is {2B07} {1F505},"down_arrow, dim_button"
This is droplet [EM] ice [EM] snowflake.,This is low sun.,1,1,This is 💧 🧊 ❄,This is {1F4A7} {1F9CA} {2744},"droplet, ice, snowflake"
This is chart_decreasing [EM] sun.,This is low sun.,1,0,This is 📉 ☀,This is {1F4C9} {2600},"chart_decreasing, sun"
This is red_triangle_pointed_down [EM] sun.,This is low sun.,1,0,This is 🔻 ☀,This is {1F53B} {2600},"red_triangle_pointed_down, sun"
This is down-right_arrow [EM] chart_decreasing.,This is low supply.,1,1,This is ↘ 📉,This is {2198} {1F4C9},"down-right_arrow, chart_decreasing"
This is chart_decreasing [EM] package.,This is low supply.,1,0,This is 📉 📦,This is {1F4C9} {1F4E6},"chart_decreasing, package"
This is woman_gesturing_NO [EM] woman_gesturing_NO [EM] woman_gesturing_NO.,This is low supply.,1,3,This is 🙅‍♀ 🙅‍♀ 🙅‍♀,This is {1F645 + 200D + 2640} {1F645 + 200D + 2640} {1F645 + 200D + 2640},"woman_gesturing_NO, woman_gesturing_NO, woman_gesturing_NO"
This is down-right_arrow [EM] thumbs_down [EM] slightly_frowning_face [EM] frowning_face_with_open_mouth.,This is low supply.,1,1,This is ↘ 👎 🙁 😦,This is {2198} {1F44E} {1F641} {1F626},"down-right_arrow, thumbs_down, slightly_frowning_face, frowning_face_with_open_mouth"
This is down_arrow [EM] chart_decreasing.,This is low supply.,1,1,This is ⬇ 📉,This is {2B07} {1F4C9},"down_arrow, chart_decreasing"
This is face_screaming_in_fear [EM] shopping_bags [EM] shopping_cart.,This is low supply.,1,1,This is 😱 🛍 🛒,This is {1F631} {1F6CD} {1F6D2},"face_screaming_in_fear, shopping_bags, shopping_cart"
This is down_arrow [EM] keycap_0.,This is low supply.,1,1,This is ⬇ 0⃣,This is {2B07} {30 + FE0F + 20E3},"down_arrow, keycap_0"
This is red_triangle_pointed_down [EM] package.,This is low supply.,1,0,This is 🔻 📦,This is {1F53B} {1F4E6},"red_triangle_pointed_down, package"
This is down-right_arrow [EM] cloud.,This is low cloud.,1,0,This is ↘ ☁,This is {2198} {2601},"down-right_arrow, cloud"
This is backhand_index_pointing_down [EM] cloud.,This is low cloud.,1,0,This is 👇 ☁,This is {1F447} {2601},"backhand_index_pointing_down, cloud"
This is cloud [EM] foggy.,This is low cloud.,1,1,This is ☁ 🌁,This is {2601} {1F301},"cloud, foggy"
This is down-right_arrow [EM] fog.,This is low cloud.,1,0,This is ↘ 🌫,This is {2198} {1F32B},"down-right_arrow, fog"
This is down_arrow [EM] cloud.,This is low cloud.,1,0,This is ⬇ ☁,This is {2B07} {2601},"down_arrow, cloud"
This is cloud [EM] sun_behind_large_cloud.,This is low cloud.,1,1,This is ☁ 🌥,This is {2601} {1F325},"cloud, sun_behind_large_cloud"
This is cross_mark [EM] cloud.,This is low cloud.,1,0,This is ❌ ☁,This is {274C} {2601},"cross_mark, cloud"
This is red_triangle_pointed_down [EM] cloud.,This is low cloud.,1,0,This is 🔻 ☁,This is {1F53B} {2601},"red_triangle_pointed_down, cloud"
This is down-right_arrow [EM] house.,This is low ceiling.,1,0,This is ↘ 🏠,This is {2198} {1F3E0},"down-right_arrow, house"
This is backhand_index_pointing_down [EM] house.,This is low ceiling.,1,0,This is 👇 🏠,This is {1F447} {1F3E0},"backhand_index_pointing_down, house"
This is chart_decreasing [EM] chart_decreasing.,This is low ceiling.,1,3,This is 📉 📉,This is {1F4C9} {1F4C9},"chart_decreasing, chart_decreasing"
This is down-right_arrow [EM] houses.,This is low ceiling.,1,0,This is ↘ 🏘,This is {2198} {1F3D8},"down-right_arrow, houses"
This is down_arrow [EM] TOP_arrow.,This is low ceiling.,1,0,This is ⬇ 🔝,This is {2B07} {1F51D},"down_arrow, TOP_arrow"
This is bank.,This is low ceiling.,1,4,This is 🏦,This is {1F3E6},
This is house [EM] collision.,This is low ceiling.,1,0,This is 🏠 💥,This is {1F3E0} {1F4A5},"house, collision"
This is red_triangle_pointed_down [EM] office_building.,This is low ceiling.,1,0,This is 🔻 🏢,This is {1F53B} {1F3E2},"red_triangle_pointed_down, office_building"
This is down-right_arrow [EM] woman_bowing.,This is low bow.,1,0,This is ↘ 🙇‍♀,This is {2198} {1F647 + 200D + 2640},"down-right_arrow, woman_bowing"
This is ribbon [EM] backhand_index_pointing_down.,This is low bow.,1,1,This is 🎀 👇,This is {1F380} {1F447},"ribbon, backhand_index_pointing_down"
This is woman_bowing [EM] person_bowing [EM] man_bowing.,This is low bow.,1,2,This is 🙇‍♀ 🙇 🙇‍♂,This is {1F647 + 200D + 2640} {1F647} {1F647 + 200D + 2642},"woman_bowing, person_bowing, man_bowing"
This is down-right_arrow [EM] person_bowing [EM] woman_bowing [EM] man_bowing.,This is low bow.,1,0,This is ↘ 🙇 🙇‍♀ 🙇‍♂,This is {2198} {1F647} {1F647 + 200D + 2640} {1F647 + 200D + 2642},"down-right_arrow, person_bowing, woman_bowing, man_bowing"
This is down_arrow [EM] man_bowing.,This is low bow.,1,0,This is ⬇ 🙇‍♂,This is {2B07} {1F647 + 200D + 2642},"down_arrow, man_bowing"
This is woman_bowing.,This is low bow.,1,4,This is 🙇‍♀,This is {1F647 + 200D + 2640},
This is woman_bowing [EM] man_bowing.,This is low bow.,1,2,This is 🙇‍♀ 🙇‍♂,This is {1F647 + 200D + 2640} {1F647 + 200D + 2642},"woman_bowing, man_bowing"
This is red_triangle_pointed_down [EM] woman_bowing_light_skin_tone.,This is low bow.,1,0,This is 🔻 🙇🏻‍♀,This is {1F53B} {1F647 + 1F3FB + 200D + 2640},"red_triangle_pointed_down, woman_bowing_light_skin_tone"
This is down-right_arrow [EM] national_park.,This is low reservoir.,1,0,This is ↘ 🏞,This is {2198} {1F3DE},"down-right_arrow, national_park"
This is national_park [EM] down_arrow.,This is low reservoir.,1,0,This is 🏞 ⬇,This is {1F3DE} {2B07},"national_park, down_arrow"
This is sweat_droplets [EM] prohibited [EM] prohibited.,This is low reservoir.,1,1,This is 💦 🚫 🚫,This is {1F4A6} {1F6AB} {1F6AB},"sweat_droplets, prohibited, prohibited"
This is down-right_arrow [EM] mount_fuji.,This is low reservoir.,1,0,This is ↘ 🗻,This is {2198} {1F5FB},"down-right_arrow, mount_fuji"
This is down_arrow [EM] woman_rowing_boat [EM] water_wave.,This is low reservoir.,1,0,This is ⬇ 🚣‍♀ 🌊,This is {2B07} {1F6A3 + 200D + 2640} {1F30A},"down_arrow, woman_rowing_boat, water_wave"
This is national_park [EM] crocodile.,This is low reservoir.,1,1,This is 🏞 🐊,This is {1F3DE} {1F40A},"national_park, crocodile"
This is first_quarter_moon_face [EM] down-right_arrow.,This is low reservoir.,1,1,This is 🌛 ↘,This is {1F31B} {2198},"first_quarter_moon_face, down-right_arrow"
This is red_triangle_pointed_down [EM] national_park.,This is low reservoir.,1,0,This is 🔻 🏞,This is {1F53B} {1F3DE},"red_triangle_pointed_down, national_park"
This is down-right_arrow [EM] label.,This is low price.,1,0,This is ↘ 🏷,This is {2198} {1F3F7},"down-right_arrow, label"
This is chart_decreasing [EM] money_bag [EM] money_bag.,This is low price.,1,0,This is 📉 💰 💰,This is {1F4C9} {1F4B0} {1F4B0},"chart_decreasing, money_bag, money_bag"
This is money-mouth_face [EM] money-mouth_face [EM] money-mouth_face [EM] red_envelope.,This is low price.,1,1,This is 🤑 🤑 🤑 🧧,This is {1F911} {1F911} {1F911} {1F9E7},"money-mouth_face, money-mouth_face, money-mouth_face, red_envelope"
This is down-right_arrow [EM] heavy_dollar_sign [EM] money_with_wings.,This is low price.,1,0,This is ↘ 💲 💸,This is {2198} {1F4B2} {1F4B8},"down-right_arrow, heavy_dollar_sign, money_with_wings"
This is down_arrow [EM] label [EM] heavy_dollar_sign.,This is low price.,1,0,This is ⬇ 🏷 💲,This is {2B07} {1F3F7} {1F4B2},"down_arrow, label, heavy_dollar_sign"
This is heavy_dollar_sign [EM] money-mouth_face [EM] money-mouth_face.,This is low price.,1,1,This is 💲 🤑 🤑,This is {1F4B2} {1F911} {1F911},"heavy_dollar_sign, money-mouth_face, money-mouth_face"
This is down_arrow [EM] heavy_dollar_sign.,This is low price.,1,0,This is ⬇ 💲,This is {2B07} {1F4B2},"down_arrow, heavy_dollar_sign"
This is red_triangle_pointed_down [EM] label.,This is low price.,1,0,This is 🔻 🏷,This is {1F53B} {1F3F7},"red_triangle_pointed_down, label"
This is down-right_arrow [EM] couch_and_lamp.,This is low furniture.,1,0,This is ↘ 🛋,This is {2198} {1F6CB},"down-right_arrow, couch_and_lamp"
This is red_triangle_pointed_down [EM] chair [EM] couch_and_lamp.,This is low furniture.,1,0,This is 🔻 🪑 🛋,This is {1F53B} {1FA91} {1F6CB},"red_triangle_pointed_down, chair, couch_and_lamp"
This is chair [EM] chair [EM] down_arrow.,This is low furniture.,1,0,This is 🪑 🪑 ⬇,This is {1FA91} {1FA91} {2B07},"chair, chair, down_arrow"
This is down-right_arrow [EM] seat [EM] bed.,This is low furniture.,1,0,This is ↘ 💺 🛏,This is {2198} {1F4BA} {1F6CF},"down-right_arrow, seat, bed"
This is down_arrow [EM] chair.,This is low furniture.,1,0,This is ⬇ 🪑,This is {2B07} {1FA91},"down_arrow, chair"
This is couch_and_lamp.,This is low furniture.,1,4,This is 🛋,This is {1F6CB},
This is cross_mark [EM] bed.,This is low furniture.,1,0,This is ❌ 🛏,This is {274C} {1F6CF},"cross_mark, bed"
This is red_triangle_pointed_down [EM] couch_and_lamp.,This is low furniture.,1,0,This is 🔻 🛋,This is {1F53B} {1F6CB},"red_triangle_pointed_down, couch_and_lamp"
This is face_with_medical_mask [EM] face_with_thermometer [EM] face_with_head-bandage.,This is critical illness.,1,2,This is 😷 🤒 🤕,This is {1F637} {1F912} {1F915},"face_with_medical_mask, face_with_thermometer, face_with_head-bandage"
This is skull_and_crossbones [EM] sneezing_face.,This is critical illness.,1,0,This is ☠ 🤧,This is {2620} {1F927},"skull_and_crossbones, sneezing_face"
